geography_type,geography_name,year,animal,count
Region,Northland,1997,Beef cattle,NA
Region,Northland,1998,Beef cattle,NA
Region,Northland,1999,Beef cattle,543395
Region,Northland,2000,Beef cattle,NA
Region,Northland,2001,Beef cattle,NA
Region,Northland,2002,Beef cattle,468432
Region,Northland,2003,Beef cattle,478201
Region,Northland,2004,Beef cattle,451849
Region,Northland,2005,Beef cattle,469262
Region,Northland,2006,Beef cattle,490788
Region,Northland,2007,Beef cattle,495833
Region,Northland,2008,Beef cattle,507540
Region,Northland,2009,Beef cattle,485231
Region,Northland,2010,Beef cattle,465169
Region,Northland,2011,Beef cattle,402434
Region,Northland,2012,Beef cattle,380719
Region,Northland,2013,Beef cattle,396376
Region,Northland,2014,Beef cattle,349850
Region,Northland,2015,Beef cattle,354569
Region,Northland,2016,Beef cattle,356823
Region,Northland,2017,Beef cattle,382957
Region,Northland,2018,Beef cattle,400489
Region,Northland,2019,Beef cattle,382124
Region,Otago,1990,Beef cattle,235617
Region,Otago,1991,Beef cattle,237654
Region,Otago,1992,Beef cattle,239513
Region,Otago,1993,Beef cattle,237967
Region,Otago,1994,Beef cattle,270422
Region,Otago,1995,Beef cattle,284347
Region,Otago,1996,Beef cattle,283683
Region,Otago,1997,Beef cattle,NA
Region,Otago,1998,Beef cattle,NA
Region,Otago,1999,Beef cattle,292449
Region,Otago,2000,Beef cattle,NA
Region,Otago,2001,Beef cattle,NA
Region,Otago,2002,Beef cattle,267091
Region,Otago,2003,Beef cattle,272551
Region,Otago,2004,Beef cattle,259911
Region,Otago,2005,Beef cattle,281842
Region,Otago,2006,Beef cattle,278269
Region,Otago,2007,Beef cattle,292355
Region,Otago,2008,Beef cattle,291234
Region,Otago,2009,Beef cattle,291585
Region,Otago,2010,Beef cattle,280997
Region,Otago,2011,Beef cattle,268322
Region,Otago,2012,Beef cattle,290398
Region,Otago,2013,Beef cattle,276545
Region,Otago,2014,Beef cattle,293251
Region,Otago,2015,Beef cattle,272686
Region,Otago,2016,Beef cattle,NA
Region,Otago,2017,Beef cattle,262823
Region,Otago,2018,Beef cattle,296414
Region,Otago,2019,Beef cattle,325432
Region,Southland,1990,Beef cattle,186533
Region,Southland,1991,Beef cattle,181037
Region,Southland,1992,Beef cattle,171851
Region,Southland,1993,Beef cattle,174537
Region,Southland,1994,Beef cattle,202538
Region,Southland,1995,Beef cattle,214326
Region,Southland,1996,Beef cattle,204107
Region,Southland,1997,Beef cattle,NA
Region,Southland,1998,Beef cattle,NA
Region,Southland,1999,Beef cattle,229830
Region,Southland,2000,Beef cattle,NA
Region,Southland,2001,Beef cattle,NA
Region,Southland,2002,Beef cattle,203670
Region,Southland,2003,Beef cattle,220042
Region,Southland,2004,Beef cattle,216523
Region,Southland,2005,Beef cattle,202326
Region,Southland,2006,Beef cattle,204632
Region,Southland,2007,Beef cattle,207588
Region,Southland,2008,Beef cattle,190562
Region,Southland,2009,Beef cattle,214927
Region,Southland,2010,Beef cattle,186157
Region,Southland,2011,Beef cattle,173798
Region,Southland,2012,Beef cattle,172150
Region,Southland,2013,Beef cattle,168031
Region,Southland,2014,Beef cattle,173957
Region,Southland,2015,Beef cattle,164718
Region,Southland,2016,Beef cattle,169251
Region,Southland,2017,Beef cattle,175201
Region,Southland,2018,Beef cattle,172338
Region,Southland,2019,Beef cattle,191503
Region,Taranaki,1990,Beef cattle,174388
Region,Taranaki,1991,Beef cattle,174211
Region,Taranaki,1992,Beef cattle,170772
Region,Taranaki,1993,Beef cattle,160288
Region,Taranaki,1994,Beef cattle,172784
Region,Taranaki,1995,Beef cattle,168260
Region,Taranaki,1996,Beef cattle,141753
Region,Taranaki,1997,Beef cattle,NA
Region,Taranaki,1998,Beef cattle,NA
Region,Taranaki,1999,Beef cattle,122966
Region,Taranaki,2000,Beef cattle,NA
Region,Taranaki,2001,Beef cattle,NA
Region,Taranaki,2002,Beef cattle,127218
Region,Taranaki,2003,Beef cattle,121184
Region,Taranaki,2004,Beef cattle,122957
Region,Taranaki,2005,Beef cattle,130935
Region,Taranaki,2006,Beef cattle,129368
Region,Taranaki,2007,Beef cattle,136715
Region,Taranaki,2008,Beef cattle,132092
Region,Taranaki,2009,Beef cattle,126336
Region,Taranaki,2010,Beef cattle,133687
Region,Taranaki,2011,Beef cattle,118632
Region,Taranaki,2012,Beef cattle,103546
Region,Taranaki,2013,Beef cattle,118526
Region,Taranaki,2014,Beef cattle,129775
Region,Taranaki,2015,Beef cattle,128274
Region,Taranaki,2016,Beef cattle,106619
Region,Taranaki,2017,Beef cattle,117954
Region,Taranaki,2018,Beef cattle,116437
Region,Taranaki,2019,Beef cattle,125144
Region,Tasman,1990,Beef cattle,NA
Region,Tasman,1991,Beef cattle,NA
Region,Tasman,1992,Beef cattle,NA
Region,Tasman,1993,Beef cattle,57069
Region,Tasman,1994,Beef cattle,64453
Region,Tasman,1995,Beef cattle,64896
Region,Tasman,1996,Beef cattle,60432
Region,Tasman,1997,Beef cattle,NA
Region,Tasman,1998,Beef cattle,NA
Region,Tasman,1999,Beef cattle,57322
Region,Tasman,2000,Beef cattle,NA
Region,Tasman,2001,Beef cattle,NA
Region,Tasman,2002,Beef cattle,49032
Region,Tasman,2003,Beef cattle,56155
Region,Tasman,2004,Beef cattle,46223
Region,Tasman,2005,Beef cattle,45222
Region,Tasman,2006,Beef cattle,45759
Region,Tasman,2007,Beef cattle,51428
Region,Tasman,2008,Beef cattle,49869
Region,Tasman,2009,Beef cattle,59543
Region,Tasman,2010,Beef cattle,49783
Region,Tasman,2011,Beef cattle,46355
Region,Tasman,2012,Beef cattle,40149
Region,Tasman,2013,Beef cattle,42268
Region,Tasman,2014,Beef cattle,38788
Region,Tasman,2015,Beef cattle,41531
Region,Tasman,2016,Beef cattle,NA
Region,Tasman,2017,Beef cattle,39805
Region,Tasman,2018,Beef cattle,31913
Region,Tasman,2019,Beef cattle,36912
Region,Waikato,1990,Beef cattle,758382
